be is was been being
have has had had having
do does did done doing
say says said said saying
go goes went gone going
get gets got gotten getting
know knows knew known knowing
make makes made made making
think thinks thought thought thinking
take takes took taken taking
see sees saw seen seeing
come comes came come coming
want wants wanted wanted wanting
look looks looked looked looking
use uses used used using
find finds found found finding
tell tells told told telling
give gives gave given giving
work works worked worked working
call calls called called calling
try tries tried tried trying
ask asks asked asked asking
need needs needed needed needing
feel feels felt felt feeling
become becomes became become becoming
mean means meant meant meaning
leave leaves left left leaving
let lets let let letting
put puts put put putting
keep keeps kept kept keeping
talk talks talked talked talking
turn turns turned turned turning
seem seems seemed seemed seeming
begin begins began begun beginning
help helps helped helped helping
start starts started started starting
show shows showed showed showing
hear hears heard heard hearing
play plays played played playing
run runs ran run running
happen happens happened happened happening
like likes liked liked liking
move moves moved moved moving
believe believes believed believed believing
hold holds held held holding
live lives lived lived living
bring brings brought brought bringing
write writes wrote written writing
provide provides provided provided providing
sit sits sat sat sitting
