# data source: ../../data/english/ngrams/english-brown_words.txt
# type count: 1024
# token count: 6059715
e	#	202832
#	t	160310
t	h	134540
s	#	129366
h	e	123186
#	a	115726
d	#	105595
t	#	94489
i	n	89422
n	#	87910
e	r	76119
a	n	73063
#	o	71845
#	s	69832
#	i	68355
r	e	67294
o	n	61644
#	w	61509
r	#	59260
y	#	59110
#	,	58636
,	#	58636
.	#	55223
#	.	55223
#	h	54667
a	t	53361
e	n	52226
n	d	48987
#	c	48574
e	d	46794
#	b	46396
o	r	46331
e	s	45418
t	i	43310
f	#	43132
t	e	43093
o	#	42361
#	f	42115
i	t	41554
i	s	41472
s	t	41414
t	o	41058
#	m	39943
a	r	39824
#	p	39511
o	f	39484
n	g	38256
h	a	37584
a	l	37360
o	u	36496
n	t	35533
a	s	35004
h	i	32429
s	e	32099
l	#	31996
l	e	31925
g	#	31379
v	e	30713
#	d	30437
m	e	29848
a	#	28643
c	o	28068
n	e	27635
d	e	27588
e	a	27177
r	o	27081
h	#	26351
#	r	26266
i	o	25714
r	i	25108
#	e	24558
i	c	24109
l	l	23970
#	l	23820
r	a	23451
l	i	23157
c	e	22771
b	e	22379
#	n	21820
c	h	21772
m	a	20815
o	m	20498
e	l	20079
s	i	19826
h	o	19701
c	a	19082
t	a	19069
w	a	18814
u	r	18697
f	o	18518
l	a	18517
l	y	17344
p	e	17340
#	g	17293
i	l	17208
m	#	17084
n	o	16963
n	s	16935
u	s	16810
d	i	16724
u	t	16571
a	c	16470
a	d	16318
e	t	16135
o	t	15974
e	c	15792
e	e	15644
u	n	15611
r	s	15558
p	r	15434
w	i	15013
w	h	14826
t	r	14643
l	o	14628
s	o	14436
s	s	14399
c	t	14235
w	e	14230
n	c	14045
g	e	13805
s	h	13522
o	w	13402
e	m	13356
o	l	13346
i	e	13266
a	i	13241
u	l	13009
r	t	12964
m	o	12943
n	i	12734
i	d	12696
i	m	12561
p	o	12333
m	i	11928
i	r	11908
t	s	11785
#	u	11706
l	d	11611
p	a	11343
n	a	11268
a	m	10649
o	s	10590
s	u	10581
k	e	10443
f	i	10435
o	o	10258
g	h	10133
i	g	10088
e	v	9762
a	y	9745
p	l	9551
i	v	9472
w	o	9362
k	#	9218
w	#	9171
v	i	9013
b	l	8899
c	i	8896
s	a	8796
r	y	8697
i	a	8675
f	e	8611
t	u	8565
#	y	8547
b	o	8186
b	u	8182
o	p	8126
a	b	8054
d	o	7967
f	r	7922
a	v	7891
m	p	7816
g	r	7637
a	g	7621
t	y	7621
t	t	7378
i	f	7243
#	j	7231
o	v	7131
r	d	7121
e	x	7003
o	d	6968
s	p	6886
a	p	6746
#	v	6517
e	y	6411
f	a	6369
c	k	6339
b	a	6314
e	i	6296
y	o	6262
p	#	6260
u	c	6226
e	p	6181
r	n	6173
i	#	6145
d	a	5969
h	t	5940
'	s	5849
r	m	5840
b	y	5778
g	a	5759
g	o	5678
c	l	5591
o	c	5572
e	f	5536
g	i	5493
u	g	5436
u	p	5434
s	c	5373
c	r	5353
f	f	5329
c	#	5219
p	p	5215
#	k	5094
p	i	5060
q	u	5003
e	w	4970
u	e	4921
r	u	4751
l	u	4739
l	s	4718
c	u	4715
m	u	4712
u	m	4674
d	u	4556
d	s	4521
u	a	4413
y	e	4392
t	l	4332
a	k	4320
v	a	4291
b	r	4271
a	u	4217
n	y	4213
e	g	4201
r	r	4165
k	i	4097
u	#	4005
l	t	3961
#	1	3961
r	c	3845
u	i	3836
b	i	3804
d	r	3753
r	l	3721
p	u	3696
f	u	3641
n	n	3561
w	n	3560
o	b	3554
r	k	3554
-	#	3525
m	b	3497
#	-	3474
m	s	3459
r	g	3435
-	-	3386
m	m	3384
u	d	3369
y	s	3344
h	r	3337
u	b	3291
i	p	3282
o	i	3274
n	'	3205
i	b	3176
f	t	3146
p	t	3083
p	h	3046
h	u	3039
o	k	3019
o	g	2998
t	w	2894
o	a	2870
g	u	2849
n	u	2809
;	#	2771
#	;	2771
n	l	2703
a	f	2626
s	l	2617
s	m	2591
a	w	2545
j	u	2455
)	#	2448
#	)	2448
f	l	2442
c	c	2433
x	p	2427
(	#	2421
#	(	2421
e	o	2400
v	o	2385
0	#	2364
i	z	2354
l	f	2354
k	n	2330
d	y	2327
g	l	2316
n	k	2276
r	v	2255
#	?	2243
?	#	2243
i	k	2231
m	y	2220
g	n	2211
j	o	2176
'	t	2110
z	e	2020
p	s	1996
n	f	1962
#	q	1959
g	s	1952
j	#	1916
:	#	1914
#	:	1914
s	k	1877
d	d	1862
s	y	1764
k	s	1738
o	e	1696
h	y	1695
j	e	1652
e	q	1652
n	v	1613
d	l	1598
t	c	1580
r	p	1556
#	2	1550
x	t	1530
o	y	1512
1	9	1455
0	0	1442
m	r	1416
b	s	1403
e	'	1336
1	#	1286
x	#	1280
y	i	1279
w	r	1265
e	-	1264
s	w	1188
c	y	1184
2	#	1173
w	s	1155
g	g	1145
l	v	1141
r	f	1140
d	g	1137
l	m	1135
t	m	1122
b	#	1103
l	k	1071
d	n	1070
t	'	1048
h	n	1045
x	i	1045
#	3	984
r	b	983
j	a	966
e	k	939
o	h	903
e	h	902
x	c	901
5	#	891
s	n	881
x	a	881
y	m	864
e	b	847
n	m	842
-	s	842
e	u	837
l	p	830
a	x	804
#	]	798
]	#	798
z	a	797
y	t	795
i	'	756
k	a	756
i	x	739
y	'	732
y	p	723
3	#	723
r	'	701
'	#	700
c	s	698
r	h	692
y	a	689
u	f	689
-	c	688
g	t	668
t	-	664
r	-	664
4	#	657
x	e	645
-	t	644
#	0	643
n	-	632
b	j	629
a	z	626
d	m	623
d	v	610
p	m	610
y	-	606
#	$	580
g	y	577
#	4	572
b	b	570
8	#	565
#	5	561
d	-	554
k	l	547
h	l	542
s	f	532
w	l	531
l	w	530
y	l	530
7	#	516
6	#	512
o	x	512
o	-	512
1	0	505
-	f	504
s	'	503
b	t	494
z	i	494
9	5	493
h	s	465
a	h	463
l	-	458
'	l	451
9	#	449
i	q	442
y	n	442
-	d	438
h	m	437
r	w	434
l	r	434
'	d	431
-	p	429
-	a	422
i	u	418
y	r	418
-	o	416
f	-	415
1	8	412
9	6	408
u	o	408
k	o	402
s	q	398
k	y	398
n	h	389
-	m	385
-	l	376
n	j	376
-	b	370
#	6	369
y	b	364
u	'	363
a	j	363
#	7	359
n	r	358
m	n	358
5	0	357
6	0	351
z	z	351
s	b	350
d	'	349
p	y	348
a	e	331
y	c	328
-	r	327
-	h	324
l	c	321
t	n	316
d	w	316
t	f	310
