# data source: ../../data/english/ngrams/english-brown_words.txt
# type count: 53
# token count: 14745303
#	2289228
e	1549960
t	1060245
a	998403
o	965041
i	961520
n	898897
r	786112
s	731252
h	689853
l	531755
d	427860
c	386439
u	370107
m	303945
f	246238
p	241140
g	228474
w	196317
y	177164
b	170172
v	134516
k	79063
,	58636
.	55223
-	38349
'	31319
x	26849
j	19032
q	13167
z	12989
0	10349
1	10173
9	5717
2	5017
5	4920
6	3430
3	3384
4	3064
8	2932
;	2771
)	2448
(	2421
7	2272
?	2243
:	1914
$	1135
]	798
/	569
%	298
&	171
*	11
+	1
